# squared distance, heading (radians)
17.865644,0.481306
17.843681,0.465942
17.621913,0.449036
17.552680,0.431973
17.607852,0.414390
17.532653,0.396155
17.394470,0.380010
17.435699,0.363438
17.604748,0.345058
17.397932,0.325133
17.402500,0.305304
17.419125,0.286202
17.478461,0.269501
17.726743,0.251610
17.542576,0.236337
17.523956,0.219796
17.642105,0.197315
17.615472,0.181023
17.868052,0.165334
17.738225,0.150101
17.897097,0.134644
17.861496,0.119158
17.812909,0.098648
17.612571,0.081738
17.732220,0.063239
17.794406,0.047173
18.069246,0.028882
18.103831,0.010357
18.010366,-0.004415
18.087786,-0.023776
18.292072,-0.041673
18.446947,-0.059648
18.288711,-0.075342
18.311257,-0.090518
18.167826,-0.114527
18.227027,-0.132894
18.172751,-0.145764
18.269417,-0.158260
18.263173,-0.175308
18.057736,-0.192768
18.065698,-0.209133
18.147938,-0.226367
17.929850,-0.243856
18.035956,-0.260989
18.184991,-0.279881
17.937511,-0.298953
17.976176,-0.315400
18.042201,-0.332400
18.079282,-0.352320
18.167629,-0.369916
18.251831,-0.388045
18.082081,-0.405137
18.160582,-0.423791
18.215684,-0.441823
18.310272,-0.458407
18.079296,-0.474950
18.088279,-0.488621
18.244416,-0.504786
18.136872,-0.521032
18.101566,-0.541962
17.986975,-0.560711
17.962845,-0.578872
17.724896,-0.594883
17.735267,-0.613274
17.576171,-0.628247
17.649471,-0.644871
17.591694,-0.661981
17.454764,-0.674984
17.599146,-0.693704
17.351572,-0.711310
17.489379,-0.727752
17.361207,-0.743609
17.192215,-0.759490
17.305085,-0.780460
17.336244,-0.795809
17.423111,-0.809369
17.246287,-0.827796
17.277540,-0.845396
17.115813,-0.864586
17.029862,-0.884258
16.597915,-0.898101
16.422959,-0.916703
16.613354,-0.932939
16.726469,-0.950817
16.525081,-0.972859
16.467273,-0.987057
16.310816,-1.003721
16.253200,-1.021954
16.326071,-1.039094
16.063727,-1.058476
15.888058,-1.076572
15.850591,-1.094713
15.909135,-1.112503
15.951844,-1.131632
15.900439,-1.146977
15.827447,-1.166964
15.618896,-1.185579
15.743346,-1.202462
15.677396,-1.219054
15.661086,-1.237580
15.634079,-1.256833
15.424150,-1.275009
15.310037,-1.291254
15.334972,-1.309653
15.184433,-1.327611
15.102684,-1.347571
15.051163,-1.365643
14.947804,-1.379191
14.881531,-1.395665
14.959607,-1.415223
14.777757,-1.434507
14.644254,-1.448746
14.521650,-1.469197
14.169071,-1.484710
14.229075,-1.503150
14.322754,-1.520697
14.365055,-1.539384
14.445635,-1.555216
14.407439,-1.570596
14.392580,-1.587204
14.418332,-1.604747
14.390003,-1.620218
